EOC1_me,EOC1_other,DEC1_me,DEC1_other,esc1,manchk2,manchk1,birth,gender
 , , ,1,20,4,2,11,2
1, , , ,20,4,4,11,2
 , ,1, ,75,4,1,12,1
 , , ,1,100,1,5,9,1
1, , , ,10,2,4,10,2
1, , , ,60,2,3,10,2
 , ,1, ,80,2,4,10,2
1, , , ,80,3,3,10,2
 ,1, , ,40,4,3,10,2
1, , , ,80,2,5,13,1
 , ,1, ,90,3,3,10,2
1, , , ,0,5,5,10,1
 ,1, , ,90,2,4, , 
 , ,1, ,50,3,3,10,2
 , ,1, ,75,4,2,11,2
 , ,1, ,3,3,4,11,2
 , ,1, ,70,3,5,11,1
1, , , ,0,2,4,10,2
 , ,1, ,75,2,4,10,2
 , , ,1,20,3,2,12,2
 , , ,1,50,2,3,9,1
1, , , ,30,2,4,10,2
1, , , ,85,1,5,9,1
 ,1, , ,20,2,4,11,2
 , ,1, ,60,2,2,10,2
 , , ,1,0,5,3,10,1
 , , ,1,70,2,2,10,1
 , , ,1,0,4,1,11,1
 , ,1, ,80,3,3,10,2
 , , ,1,60,2,4,11,2
 , ,1, ,20,5,4,11,1
 ,1, , ,10,5,4,11,2
 , , ,1,40,2,1,12,2
1, , , ,85,2,2,11,2
1, , , ,40,3,4,10,1
 , , ,1,0,4,2,10,1
 , ,1, ,20,4,2,10,2
 ,1, , ,75,2,3,10,1
 , , ,1,60,2,4,10,2
1, , , ,30,4,4,10,2
 ,1, , ,95,1,1,10,2
 ,1, , ,85,2,4,10,1
 ,1, , ,30,4,2,11,2
 , ,1, ,20,4,2,10,2
1, , , ,100,1,2,10,1
 ,1, , ,65,4,2,10,1
 , ,1, ,3,4,2,10,2
 , ,1, ,70,3,2,10,2
1, , , ,60,2,3,10,2
 ,1, , ,75,2,5,10,2
1, , , ,40,3,4,10,1
 , , ,1,20,5,1,10,1
 , , ,1,30,4,2,10,1
 , , ,1,70,2,3,10,2
 , , ,1,30,4,1,9,2
 , ,1, ,75,3,4,9,1
1, , , ,60,2,4,11,2
1, , , ,5,3,4,9,2
 ,1, , ,85,3,5,11,1
 , ,1, ,65,4,2,11,2
 ,1, , ,0,3,4,11,1
1, , , ,3,3,3,10,2
 , , ,1,0,5,2,10,2
1, , , ,40,3,4,10,2
 ,1, , ,30,2,4,9,1
1, , , ,30,1,5,11,1
 , , ,1,0,5,2,12,1
1, , , ,0,4,4,12,1
 ,1, , ,40,4,5,11,1
 , , ,1,85,1,1,10,2
 , ,1, ,23,5,4,10,2
1, , , ,100,2,5,10,1
 ,1, , ,25,4,4,10,1
 , ,1, ,20,4,4,10,2
1, , , ,15,4,3,10,2
 , , ,1,40,4,2,10,2
 , , ,1,72,4,1,9,1
 , ,1, ,5,5,1,9,1
1, , , ,60,2,4,9,2
 ,1, , ,50,2,4,12,2
 , , ,1,40,4,2,10,2
 , ,1, ,40,4,2,11,2
1, , , ,20,2,4,10,2
1, , , ,60,3,1,10,2
 , ,1, ,20,4,2,10,1
 , , ,1,99,1,2,9,1
 , , ,1,60,2,3,11,2
 , , ,1,30,2,3,11,2
 ,1, , ,30,5,4,10,2
 , ,1, ,20,3,3,11,2
1, , , ,70,2,5,9,2
1, , , ,70,3,5,12,1
 , , ,1,0,4,4,11,2
 ,1, , ,60,2,4,13,1
1, , , ,50,3,3,10,2
 , ,1, ,45,4,3,11,2
 , , ,1,20,4,2,10,1
1, , , ,70,2,4,11,2
 , , ,1,30,4,3,10,2
 ,1, , ,80,2,4,10,1
 , ,1, ,20,4,3,10,1
 , ,1, ,30,5,3,10,2
 ,1, , ,0,5,3,9,1
1, , , ,0,5,2,12,1
 ,1, , ,35,1,5,10,1
 , ,1, ,90,2,2,10,2
 ,1, , ,20,1,5, , 
1, , , ,30,3,4,13,1
 , ,1, ,30,4,1,9,1
 , ,1, ,75,4,2,9,1
 ,1, , ,75,2,4,11,2
 ,1, , ,40,3,4,10,2
 ,1, , ,90,2,4,10,2
 ,1, , ,25,2,4,10,2
 ,1, , ,40,3,4,10,2
1, , , ,80,2,5,11,2
 ,1, , ,80,2,2,11,2
 ,1, , ,40,3,4,10,2
 ,1, , ,20,4,5,8,1
 , ,1, ,30,5,3,11,1
1, , , ,80,2,3,10,1
 , ,1, ,20,4,3,10,1
 ,1, , ,50,1,5,10,2
1, , , ,70,2,4,11,2
 , , ,1,20,5,3,12,2
 , , ,1,30,3,4,10,2
 , , ,1,70,1,4,10,2
 ,1, , ,50,2,3,10,2
1, , , ,40,4,2,10,2
1, , , ,10,1,5,10,2
 , ,1, ,30,5,3,10,2
 ,1, , ,20,4,4,10,1
 ,1, , ,50,2,5,10,2
1, , , ,100,1,3,12,1
 ,1, , ,20,1,5,11,2
1, , , ,0,4,2,13,1
 , , ,1,30,4,3,12,1
 , ,1, ,60,3,4,10,1
 , , ,1,30,4,2,9,1
 , ,1, ,25,5,1,11,1
 ,1, , ,60,2,4,9,1
 , ,1, ,30,4,2,10,2
1, , , ,50,2,5,9,1
 , , ,1,35,4,2,14,2
 , , ,1,30,4,3,10,1
 , , ,1,60,2,1,10,2
1, , , ,20,5,4,10,1
1, , , ,80,2,4,9,1
 ,1, , ,40,1,5,11,1
 , , ,1,20,4,1,10,1
 ,1, , ,30,4,4,10,1
 , ,1, ,80,5,1,10,2
 , , ,1,20,2,2,9,1
 , ,1, ,75,3,3,9,2
 ,1, , ,30,1,5,14,1
1, , , ,70,2,5,9,2
 , ,1, ,20,4,2,11,1
 , ,1, ,83,5,1,11,1
 , , ,1,69,4,2,10,1
 ,1, , ,50,2,4,10,2
 , ,1, ,35,4,1,10,2
 , , ,1,20,5,2,9,2
 ,1, , ,100,3,4,10,1
1, , , ,0,4,4,11,1
 , ,1, ,0,4,3,10,2
 , , ,1,80,5,1,10,2
1, , , ,75,3,5,10,1
 ,1, , ,10,3,4,9,1
 , , ,1,60,5,2,10,2
 ,1, , ,80,2,5,11,1
1, , , ,50,4,4,12,2
 , ,1, ,50,2,5,10,2
 , ,1, ,75,2,3,11,1
 ,1, , ,100,1,5,10,1
1, , , ,90,2,4,11,1
 , , ,1,30,3,2,10,2
1, , , ,20,1,5,10,1
 , ,1, ,40,2,4,10,2
 ,1, , ,0,5,5,10,1
1, , , ,50,3,3,10,2
 , ,1, ,70,2,1,8,2
