consent_1,consentint2,ai_int1,ai_int2,ai_int3,ai_quiz1,ai_quiz2,ai_quiz3,ai_quiz4,ai_quiz5,ai_quiz6,ai_int4,ai_int5,ai_decision,ai_action,ia_int1,ia_int2,ia_int3,ia_quiz1,ia_quiz2,ia_quiz3,ia_quiz4,ia_quiz5,ia_quiz6,ia_int4,ia_int5,ia_decision,ia_action,am_int1,am_int2,am_int3,am_quiz1,am_quiz2,am_quiz3,am_int4,am_int5,am_decision,am_explain,am_noaction,am_proceed,am_terminate,age,gender
1,1,1,1,1,3,1,2,1,1,2,1,1,50,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,25,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,70,3, , , , , , , , , , , , , ,34,2
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,90,Competition brings innovation so having a competing product would help make our better.,1,1,1,39,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,75,5, , , , , , , , , , , , , ,23,2
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,80,3, , , , , , , , , , , , , ,37,2
1,1,1,1,1,3,1,2,1,1,2,1,1,70,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,24,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,0,4, , , , , , , , , , , , , ,33,1
1,1,1,1,1,3,1,2,1,1,2,1,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,27,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,40,I feel the sunken cost of the 5 million dollars as a factor to keep going.  It may be better to cut our losses and focus on another project.,1,2,1,32,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,5,i would almost certainly stop this project.  the other firm's product is better and i could use the money i'd be saving for another project with a better chance of success.,1,2,1,60,1
1,1,1,1,1,3,1,2,1,1,2,1,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,35,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,10,4, , , , , , , , , , , , , ,26,2
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,75,3, , , , , , , , , , , , , ,32,2
1,1,1,1,1,3,1,2,1,1,2,1,1,20,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,34,2
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,100,"The project is already in progress and has used half of the budget. Even though there is a competitor that has beat us to the punch, ours will still be one of very few that have this technology.",1,2,1,39,2
1,1,1,1,1,3,1,2,1,1,2,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,26,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,0,There is no sense in spending more money to bring a product to the market that is already behind.,1,1,1,70,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,20,4, , , , , , , , , , , , , ,31,2
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,10,"The fact that a competitor already has a product with a better design, and that we are another 3 years and $5 million away from entering the market, makes the risk too high to continue.",1,1,1,51,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,50,"I don't have enough information to know whether or not to proceed. If I actually was the manager, I'd sure hope I'd have more details before making such a big decision.",1,2,1,27,2
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,75,2, , , , , , , , , , , , , ,35,2
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,20,5, , , , , , , , , , , , , ,55,2
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,15,4, , , , , , , , , , , , , ,27,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,85,I would proceed with the project and try to analyze the competitions product and try to improve on that design to make an even better product that we originally thought was possible.,2,1,1,35,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,65,2, , , , , , , , , , , , , ,30,2
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,80,2, , , , , , , , , , , , , ,39,2
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,50,3, , , , , , , , , , , , , ,27,2
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,20,While we have invested 5 million dollars already it would be risky to invest 5 million possible dollars to make this happen or to make it better than the competition who still could beat us.,1,1,1,30,2
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,75,"I think that we are on budget and going well, so maybe there is still a chance we can improve our project and stay on task.",1,2,1,31,2
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,50,5, , , , , , , , , , , , , ,43,2
1,1,1,1,1,3,1,2,1,1,2,1,1,0,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,35,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,10,4, , , , , , , , , , , , , ,47,1
1,1,1,1,1,3,1,2,1,1,2,1,1,15,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,30,1
1,1,1,1,1,3,1,2,1,1,2,1,1,90,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,25,1
1,1,1,1,1,3,1,2,1,1,2,1,1,80,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,28,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,10,5, , , , , , , , , , , , , ,27,2
1,1,1,1,1,3,1,2,1,1,2,1,1,35,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,21,2
1,1,1,1,1,3,1,2,1,1,2,1,1,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,27,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,30,"I think we would have to go back a long ways, but not necessarily scrap it. We just need a better idea.",1,1,1,38,2
1,1,1,1,1,3,1,2,1,1,2,1,1,75,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,21,1
1,1,1,1,1,3,1,2,1,1,2,1,1,55,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,29,2
1,1,1,1,1,3,1,2,1,1,2,1,1,70,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,42,2
1,1,1,1,1,3,1,2,1,1,2,1,1,75,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,42,2
1,1,1,1,1,3,1,2,1,1,2,1,1,50,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,20,2
1,1,1,1,1,3,1,2,1,1,2,1,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,51,2
