action_framing,escalation_of_commitment
Deescalation-action,75
Escalation-action,10
Escalation-action,60
Escalation-action,80
Escalation-action,80
Deescalation-action,90
Deescalation-action,50
Deescalation-action,75
Deescalation-action,3
Deescalation-action,70
Escalation-action,0
Escalation-action,30
Escalation-action,85
Deescalation-action,80
Deescalation-action,20
Escalation-action,85
Escalation-action,40
Deescalation-action,20
Deescalation-action,20
Escalation-action,100
Deescalation-action,3
Deescalation-action,70
Escalation-action,60
Escalation-action,40
Deescalation-action,75
Escalation-action,60
Escalation-action,5
Deescalation-action,65
Escalation-action,3
Escalation-action,40
Escalation-action,30
Deescalation-action,23
Escalation-action,100
Deescalation-action,20
Deescalation-action,5
Escalation-action,60
Deescalation-action,40
Escalation-action,20
Escalation-action,60
Deescalation-action,20
Deescalation-action,20
Escalation-action,70
Escalation-action,70
Escalation-action,50
Deescalation-action,45
Escalation-action,70
Deescalation-action,20
Deescalation-action,30
Escalation-action,30
Deescalation-action,30
Deescalation-action,75
Escalation-action,80
Deescalation-action,30
Escalation-action,80
Deescalation-action,20
Escalation-action,70
Escalation-action,10
Deescalation-action,30
Escalation-action,100
Deescalation-action,60
Deescalation-action,25
Deescalation-action,30
Escalation-action,50
Escalation-action,80
Deescalation-action,80
Deescalation-action,75
Escalation-action,70
Deescalation-action,20
Deescalation-action,83
Deescalation-action,35
Deescalation-action,0
Escalation-action,75
Escalation-action,90
Escalation-action,20
Escalation-action,50
Escalation-action,80
Deescalation-action,30
Escalation-action,100
Escalation-action,85
Deescalation-action,10
Deescalation-action,20
Escalation-action,25
